product_name,predicted_cat,predicted_sub_cat,error
Zovi Brown Melange Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Purple Cotton T-Shirt (Size-XXL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi White Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Womens Surprise Top (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Yellow Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Purple Striped Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi China Red And White Striped Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Music Fever Green Graphic Tshirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Yellow Cotton Casual Shirt (Size-39),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Crimson Red Solid Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Grey Cotton T-Shirt (Size-XXL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton Jeans (Size-34),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Tiger Dark Grey Graphic T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-XXL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Purple Striped Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
